growth,aminoglycosides,aztreonam,carbapenems,cephalosporins,glycopeptide_antibiotics,glycylcyclines,lincomycin_derivatives,metronidazole,oxazolidinone_antibiotics,penicillins,quinolones,sulfonamides
-0.0320893378337418,0,-0.00679113030075066,0.0184100641696395,0.00437481005077771,-0.0709356413234456,0.000144851976712158,-0.00215248933445552,0.00248629149565002,-0.00538872171923837,-0.0372810060163767,-0.0343599449267694,-0.00197467621982837
-0.010525973414836,0,-0.00194204000791278,-0.00275012077602735,0.00543245146352263,-0.0228072205534121,-0.000311934640101003,-0.00216716894320472,0.00021002440975811,-0.00960029288759127,-0.0100100842376377,-0.011707229115745,-0.000145184331215618
-0.0668046195863414,-0.00210810102566154,-0.0235533005638563,-0.0280714526380063,-0.00103124949530113,-0.124357597804565,0.000450020893660707,NaN,-0.000834154557480702,-0.00874057523234279,-0.0807013457526705,-0.0166852352961087,-0.000140997638390836
-0.0536669718323255,NaN,-0.00505935096585106,-0.0183650746765438,-0.0109532827363474,-0.126606074284393,0.000409641508748974,-0.00867082425081369,0.000658577894996083,-0.021880476904724,-0.129608997888819,-0.0109531254398464,-0.000101735245095963
-0.0437690866663301,1.18148117538769e-05,-0.00475746823544066,0.0130710309473545,0.00821123582452936,-0.0816944456474404,0.000484901599371506,-0.00387245541848752,0.0132781996551981,-0.00637206133299734,-0.0321970757163818,-0.0196670604594296,-0.000372679382116225
-0.0447243657066731,NaN,-0.00961160222138705,-0.0122245237613089,0.0154247916473924,-0.11739788856885,0,NaN,-0.00599694619420047,-0.0152576604329059,-0.12289879931795,-0.00818227936212902,-0.00763147389276127
-0.061072918404764,-9.72758765476835e-05,-0.00583913300573065,-0.00631758402839301,-0.0327967594515024,-0.180526657827671,0.000707373385043873,NaN,-0.00838032769628292,-0.00496232786003096,-0.17227930445961,-0.0620408404061034,NaN
-0.0626788335306362,NaN,-0.00682713699409302,0.00150464289475508,0.0202010540098415,-0.0946483273939674,-0.000499183251121311,NaN,0.00663238020707289,-0.00214771553842629,-0.00281965338225727,-0.0535156444963813,NaN
-0.0298772439688715,NaN,-0.0117103940707901,-0.0114606281974552,0.00696712154011561,-0.0690671244944622,-5.98020596918523e-05,NaN,0.00308304163218465,-0.0120862107482538,-0.0440673001421329,-0.0229506553083822,0
-0.0105408581513674,-0.00135403343465613,-0.00538639590144654,-0.00335076931295077,-0.00528762872231632,-0.0294473265708728,-7.1373505654241e-05,-0.00482038198211907,-0.00132111629345415,-0.00579255598103259,-0.0186496255995088,-0.00492131875384409,-0.00013425434421183
-0.0147330407844157,0.00183786493046702,-0.0169516782800853,0.00819600478369485,0.0220069127127146,-0.149488684499673,NaN,NaN,-0.00657901902318012,0.00285790609372107,-0.0937975982272882,-0.0480290522358987,0.00138133956604462
-0.077084276527998,0.00139622967244243,0.0061204884890344,0.0482457760960252,0.0172694532207239,-0.306850131428743,NaN,NaN,-0.00205929281546457,-0.0202447410662674,-0.0916884381552024,-0.0789804098609494,NaN
-0.0252821663322516,-0.000395256811416318,-0.00398869658113624,-0.00996013571665249,0.0108334688195992,-0.0387975827954115,NaN,NaN,-0.000323639864240142,-0.000689334998822663,-0.0298521636634207,-0.0121714521592836,NaN
-0.0615470107573289,0.000667504772944675,-0.0275118466505037,0.0224765825863231,-0.0304949293369026,-0.1109801979194,6.87291576602734e-05,NaN,-0.0155687632439489,0.0166159493218442,-0.170413675786902,-0.0106868191539993,0.00215558828019252
-0.00971170075266488,0,-0.00091113231437301,0.00373163363776458,0.00194918558304539,-0.0200821428638317,NaN,-0.0010351280166998,-0.00187386573090619,-0.00522634344362986,-0.0025014826114644,-0.017587087873262,NaN
-0.0504790665790294,NaN,-0.0426734570473756,-0.00509690142084099,-0.0401187361543123,-0.117163652345448,NaN,NaN,-0.00770981342096913,0.0117099377274062,-0.165350808845655,0.0129978626195946,-0.000775517344412961
-0.0158612888681485,NaN,0.0180416786880347,-0.0114833678338232,0.0266666091238498,-0.283821397033017,-0.000166850624933632,NaN,0.00374331202684277,-0.000322546141744314,-0.0719039844107834,-0.0943124190957388,NaN
-0.0709622653283192,0.000867882647676603,-0.0195088995749254,0.00152854659279077,-0.0140232812372163,-0.124573881579611,-0.00244047595874223,NaN,-0.00474251698907975,-0.0115407290509393,-0.130365634165903,-0.00473848080658472,NaN
-0.0410495000874601,NaN,-0.00925539037285032,0.0122121941104673,0.00925229333160587,-0.0875790582355274,NaN,NaN,-0.00281075534722659,0.00534758097508568,-0.0652066551169551,-0.0414871526156149,-0.000565810156916128
-0.0781399409128934,0,0.00414584081600513,-0.0042818811008696,-0.00613333440618229,-0.08444409111356,-0.000631807407037347,NaN,0.00797780429072159,0.00163930727997458,-0.0983780953207679,0.0217294737147253,0.0016586783671899
