"","est","padj"
"g__Bacteroides",-3.1985746327148,0.0194515965570097
"g__Parabacteroides",-5.65149868866121,0.00735548855973634
"g__Faecalibacterium",-9.92657988468808,2.30936473094063e-15
"g__Alistipes",-8.22787456950772,0.000109010754131397
"g__Ruminococcus",-7.57963980836318,9.56014808875684e-05
"g__Dorea",-5.64885880649049,0.000101386469579958
"g__Oscillibacter",-7.40255234308122,0.000475166353471224
"g__Flavonifractor",-0.565298411724325,0.77169258661699
"g__Odoribacter",-4.00008891628099,0.109178123665601
"g__Blautia",-0.396885671827262,0.706685645158908
"g__Ruminococcaceae_unclassified",-7.25995144005808,0.000177158420949665
"g__Eubacterium",-7.34157980314662,1.58051225671115e-09
"g__Coprococcus",-5.00872722117096,0.0133015776344457
"g__Fusicatenibacter",-6.03518737451662,0.000588025055357582
"g__Phascolarctobacterium",-3.58619787988345,0.124770452689572
"g__Lachnoclostridium",5.10162388588884,0.0389048235611916
"g__Escherichia",7.12955504902266,0.0020456436507322
"g__Clostridium",-0.911148415433288,0.69374433287728
"g__Gemmiger",-3.71769214098213,0.0175608404143243
"g__Firmicutes_unclassified",-7.00524974579773,8.09329568210159e-05
"g__Bilophila",-2.64769312875886,0.148532311554167
"g__Roseburia",-5.34819652002743,0.000194262187408686
"g__Lachnospira",-4.22772086707014,0.0443724053981857
"g__Lachnospiraceae_unclassified",-7.21298424738001,0.000123931697262308
"g__Parasutterella",-3.08919080245694,0.177819087501231
"g__Barnesiella",-3.18752635043818,0.21989374607017
"g__Anaerostipes",-4.14906463056716,0.0132364098417236
"g__Proteobacteria_unclassified",-1.22496925195915,0.642594780138285
"g__Collinsella",-2.57275738256792,0.187337823330457
"g__Agathobaculum",-3.93687682952875,0.0132840372205033
"g__Bifidobacterium",-1.00706722021779,0.692061483157406
"g__Turicimonas",-1.37562113328459,0.503871901049227
"g__Dialister",-0.56646532184421,0.817274236425705
"g__Erysipelatoclostridium",4.69144865548655,0.0161693793844996
"g__Ruthenibacterium",-4.37856366782,0.0113967053212542
"g__Intestinimonas",-3.05550825846683,0.0671172941601279
"g__Eisenbergiella",-1.86813845978278,0.362902023359553
"g__Veillonella",1.23944093247574,0.99391571929818
"g__Haemophilus",1.05091920192682,0.981129879149392
"g__Akkermansia",-4.10228222648679,0.041219395870025
"g__Lawsonibacter",-3.30216074227421,0.0525171903260104
"g__Streptococcus",2.18548177423413,0.714657109923153
"g__Prevotella",-0.888481979758374,0.814012691262493
"44",1.39071957803236,0.721118565181592
