"","est","padj"
"g__Bacteroides",-5.18855268997457,8.08226679002217e-05
"g__Parabacteroides",-7.65185047855866,0.0001307170920589
"g__Faecalibacterium",-11.9199803875552,1.2731865837062e-19
"g__Alistipes",-10.2460916823213,7.08165789758599e-07
"g__Ruminococcus",-9.56324351978698,4.06793677288237e-07
"g__Dorea",-7.65333660737774,9.27461173853352e-08
"g__Oscillibacter",-9.4152579895446,5.81001752337042e-06
"g__Flavonifractor",-2.58037016797807,0.0837458951949964
"g__Odoribacter",-5.98961807770766,0.00872432373983743
"g__Blautia",-2.4053290384934,0.0168741109475098
"g__Ruminococcaceae_unclassified",-9.24900303106938,1.12251603498276e-06
"g__Eubacterium",-9.36443418388892,2.79793937064062e-14
"g__Coprococcus",-6.98116197012501,0.00028735270945591
"g__Fusicatenibacter",-8.03369814006554,3.30263272967356e-06
"g__Phascolarctobacterium",-5.58233115663223,0.00892724585517582
"g__Lachnoclostridium",3.08736864650395,0.723495637545458
"g__Escherichia",5.13252803199407,0.13866813394537
"g__Clostridium",-2.93434561804676,0.0798919304919415
"g__Gemmiger",-5.70483101962678,0.000117477227648822
"g__Firmicutes_unclassified",-9.01579855229616,1.97656768848811e-07
"g__Bilophila",-4.63313504183592,0.00566354461995863
"g__Roseburia",-7.34138078310677,3.11941344118183e-07
"g__Lachnospira",-6.21319410530223,0.00162222175238412
"g__Lachnospiraceae_unclassified",-9.22806323288198,5.23759980300525e-07
"g__Parasutterella",-5.09566658116538,0.0134782667161545
"g__Barnesiella",-5.21408033596455,0.0240938506386315
"g__Anaerostipes",-6.14724333139423,0.000111439500609238
"g__Proteobacteria_unclassified",-3.21428432911252,0.0967198443862525
"g__Collinsella",-4.5893469036579,0.00891827840311609
"g__Agathobaculum",-5.92649070911482,9.64563542725488e-05
"g__Bifidobacterium",-2.99302462181622,0.0948102140994346
"g__Turicimonas",-3.38458483228974,0.0389579123017335
"g__Dialister",-2.55597536019178,0.159230827192056
"g__Erysipelatoclostridium",2.67729323943947,0.598182321023106
"g__Ruthenibacterium",-6.36883556332936,0.000113990908314943
"g__Intestinimonas",-5.04589490628541,0.00121172835522937
"g__Eisenbergiella",-3.89952767934885,0.0238463532994983
"g__Veillonella",-0.729590954833338,0.71545005458139
"g__Haemophilus",-0.954269242178841,0.566581771564521
"g__Akkermansia",-6.10523403907233,0.00115502439176316
"g__Lawsonibacter",-5.29225487669451,0.000932407551045735
"g__Streptococcus",0.179528427144282,0.923265027356429
"g__Prevotella",-2.87559908475005,0.236114253437785
"44",-0.610038222812514,0.560980056009266
