"","est","padj"
"g__Bacteroides",-9.20059830017369,8.77200770125728e-12
"g__Parabacteroides",-11.6563934002254,5.94336050560575e-09
"g__Faecalibacterium",-15.9175099477336,7.89950140489935e-31
"g__Alistipes",-14.267637587442,6.95230308291952e-12
"g__Ruminococcus",-13.5601766618469,9.14030512763595e-13
"g__Dorea",-11.6580759510927,6.67322695418935e-16
"g__Oscillibacter",-13.4155949870156,1.80186185743162e-08
"g__Flavonifractor",-6.57281093876876,5.74137170827336e-06
"g__Odoribacter",-10.007251976484,7.0619852369119e-06
"g__Blautia",-6.39628145449022,3.25481733182676e-11
"g__Ruminococcaceae_unclassified",-13.253934729058,4.05352223111422e-12
"g__Eubacterium",-13.3477773331295,2.43205749004226e-25
"g__Coprococcus",-11.0002530640227,4.33285819041341e-06
"g__Fusicatenibacter",-12.0193601263675,6.83334193030309e-12
"g__Phascolarctobacterium",-9.58478646529073,5.00365638917026e-06
"g__Lachnoclostridium",-0.906445227400397,0.596233959889669
"g__Escherichia",1.1352702467556,0.997362281102803
"g__Clostridium",-6.93022459216777,2.03902676272032e-05
"g__Gemmiger",-9.7015152266592,5.80521442780564e-11
"g__Firmicutes_unclassified",-13.0413271014393,5.9078737872885e-14
"g__Bilophila",-8.64240933714418,1.76044397244803e-07
"g__Roseburia",-11.3426608797549,1.74509954352182e-14
"g__Lachnospira",-10.2283026166735,1.46005031255459e-07
"g__Lachnospiraceae_unclassified",-13.226266311033,1.03242452835593e-12
"g__Parasutterella",-9.07770925291159,6.29473669488483e-06
"g__Barnesiella",-9.2012493310268,4.10671898885767e-05
"g__Anaerostipes",-10.1503736427006,1.90470798620744e-10
"g__Proteobacteria_unclassified",-7.22641635464777,9.41710804850065e-05
"g__Collinsella",-8.55980062119403,6.79559099708915e-07
"g__Agathobaculum",-9.93769651952454,4.79904629964596e-11
"g__Bifidobacterium",-7.00134264890201,4.66445662653795e-05
"g__Turicimonas",-7.39367474098723,3.08936270551855e-06
"g__Dialister",-6.58543332647929,0.000138943624450683
"g__Erysipelatoclostridium",-1.30855549114793,0.358364300577707
"g__Ruthenibacterium",-10.3487352883623,2.83020993125575e-10
"g__Intestinimonas",-9.04465438424773,2.81510947715483e-09
"g__Eisenbergiella",-7.87673229317993,3.13375769676159e-06
"g__Veillonella",-4.70973137782152,0.00808900289885765
"g__Haemophilus",-4.97029080706783,0.000940122217054251
"g__Akkermansia",-10.1247297558958,4.62275122586552e-08
"g__Lawsonibacter",-9.29414832185385,4.01429130822632e-09
"g__Streptococcus",-3.83033666720427,0.00741496043326244
"g__Prevotella",-6.89198672922476,0.00269840841056672
"44",-4.60618120396406,6.64838637542924e-06
