"","est","padj"
"g__Bacteroides",-1.19552192153905,0.589319538595303
"g__Parabacteroides",-3.62995284419452,0.166584524281095
"g__Faecalibacterium",-7.91946496614446,2.41387448305287e-10
"g__Alistipes",-6.24675116423366,0.00825569001486502
"g__Ruminococcus",-5.5575610514769,0.00961326646372771
"g__Dorea",-3.66273558724879,0.0214156315457447
"g__Oscillibacter",-5.41190796107932,0.0206738255029464
"g__Flavonifractor",1.42380314265493,0.86150659528071
"g__Odoribacter",-1.9956206901717,0.665054527698973
"g__Blautia",1.59415534108183,0.373043457706967
"g__Ruminococcaceae_unclassified",-5.26191075839222,0.0145972888614135
"g__Eubacterium",-5.37773314654417,2.34428205595216e-05
"g__Coprococcus",-2.9991072221681,0.273098791058976
"g__Fusicatenibacter",-4.03576717111691,0.0402391913159385
"g__Phascolarctobacterium",-1.59477297698748,0.730030884790378
"g__Lachnoclostridium",7.0910673015283,0.000502612697405381
"g__Escherichia",9.11029214224267,1.1085507449021e-05
"g__Clostridium",1.07820559740461,0.964207431878095
"g__Gemmiger",-1.72439844099155,0.45965804547245
"g__Firmicutes_unclassified",-5.02686206746529,0.0100118892620318
"g__Bilophila",-0.638970004186919,0.878812018064284
"g__Roseburia",-3.35019406102025,0.0372547457903617
"g__Lachnospira",-2.24023032300911,0.499270566771102
"g__Lachnospiraceae_unclassified",-5.22989069229107,0.0118377584466849
"g__Parasutterella",-1.07567788290348,0.844911789025002
"g__Barnesiella",-1.20620299349597,0.854663929724454
"g__Anaerostipes",-2.17024020154529,0.366524721958064
"g__Proteobacteria_unclassified",0.76519473415709,0.989668871061896
"g__Collinsella",-0.568474237757742,0.90690873349122
"g__Agathobaculum",-1.95924879707794,0.388799863953078
"g__Bifidobacterium",0.985262424121524,0.981656442814631
"g__Turicimonas",0.608074912949559,0.985382198918789
"g__Dialister",1.4265821016155,0.938230376868859
"g__Erysipelatoclostridium",6.67465905193348,6.37432439974381e-05
"g__Ruthenibacterium",-2.35589610456313,0.332182254420809
"g__Intestinimonas",-1.07758861891795,0.718656557214727
"g__Eisenbergiella",0.110057886951068,0.98491668909849
"g__Veillonella",3.2632430375617,0.35860514798448
"g__Haemophilus",3.03287434707742,0.247532184898032
"g__Akkermansia",-2.1082874008753,0.505509635691717
"g__Lawsonibacter",-1.31065041830616,0.655395902783055
"g__Streptococcus",4.16513995311742,0.02951964591132
"g__Prevotella",1.1058303422186,0.994997285529758
"44",3.38448224654735,0.00693943201276924
