"","est","padj"
"g__Bacteroides",-6.18154017771232,2.02425385281665e-06
"g__Parabacteroides",-8.63058816360901,1.25564487601643e-05
"g__Faecalibacterium",-12.9010262363636,7.5185257505553e-23
"g__Alistipes",-11.2387365928357,4.80412516562272e-08
"g__Ruminococcus",-10.545620551019,2.07171973496329e-08
"g__Dorea",-8.63209223971897,1.40704798581908e-09
"g__Oscillibacter",-10.3889006810162,5.37193157548164e-07
"g__Flavonifractor",-3.55708429163049,0.0144781346624061
"g__Odoribacter",-6.993041600009,0.00190182655930937
"g__Blautia",-3.388526184669,0.0004985387339162
"g__Ruminococcaceae_unclassified",-10.2291646788613,6.31505385779574e-08
"g__Eubacterium",-10.3418091285335,3.23775545375476e-17
"g__Coprococcus",-7.98866808854592,8.74922290186903e-05
"g__Fusicatenibacter",-9.02841722473824,2.28637709742675e-07
"g__Phascolarctobacterium",-6.5650949290765,0.00175101488186004
"g__Lachnoclostridium",2.1139936896503,0.982774071854287
"g__Escherichia",4.1464426515529,0.542189323630786
"g__Clostridium",-3.91951815333279,0.0162412825223926
"g__Gemmiger",-6.72253580559302,4.4358018714699e-06
"g__Firmicutes_unclassified",-10.0065218842469,5.54568162230028e-09
"g__Bilophila",-5.60634114001039,0.000698132213751413
"g__Roseburia",-8.32976347997537,7.10048362954579e-09
"g__Lachnospira",-7.22562908536638,0.000199712480712998
"g__Lachnospiraceae_unclassified",-10.2031477646863,2.46099638450744e-08
"g__Parasutterella",-6.07009005894828,0.00278179099145025
"g__Barnesiella",-6.19256862129252,0.00622074117644116
"g__Anaerostipes",-7.14896449849645,6.20381449125134e-06
"g__Proteobacteria_unclassified",-4.20323208612525,0.0244276407571033
"g__Collinsella",-5.55335443286353,0.00134084633593921
"g__Agathobaculum",-6.89438366225126,4.30372927774426e-06
"g__Bifidobacterium",-3.99697905728038,0.0224296016599048
"g__Turicimonas",-4.3829791057584,0.00587628357795027
"g__Dialister",-3.5389233293357,0.0433263311241389
"g__Erysipelatoclostridium",1.71116232556522,0.943854700102218
"g__Ruthenibacterium",-7.34911073664309,5.8947461437195e-06
"g__Intestinimonas",-6.03102413429072,8.0845943320489e-05
"g__Eisenbergiella",-4.8691984215971,0.00405205865545418
"g__Veillonella",-1.70359546875939,0.362616219489478
"g__Haemophilus",-1.94818551935913,0.207785154753793
"g__Akkermansia",-7.09872629573062,0.000131976997737177
"g__Lawsonibacter",-6.28197853762156,7.31811086072726e-05
"g__Streptococcus",-0.792491393434265,0.593791254168311
"g__Prevotella",-3.86497008606349,0.0993916785062179
"44",-1.59423347055038,0.124681976418447
