"","est","padj"
"g__Bacteroides",-10.2054523181407,1.72118669637445e-10
"g__Parabacteroides",-12.6630764233975,3.34607859175101e-10
"g__Faecalibacterium",-16.9110356578825,4.03339218272791e-33
"g__Alistipes",-15.25199423881,3.15383368456968e-13
"g__Ruminococcus",-14.5511185627312,2.38868075171925e-14
"g__Dorea",-12.6594056348993,7.52434727374201e-18
"g__Oscillibacter",-14.4126360029444,5.698638821134e-07
"g__Flavonifractor",-7.57938593726101,2.81240006644743e-07
"g__Odoribacter",-11.036741435234,8.40577816515805e-07
"g__Blautia",-7.41372426466151,5.48182446655356e-14
"g__Ruminococcaceae_unclassified",-14.2445617460202,1.60626849507636e-13
"g__Eubacterium",-14.3524973156866,4.27609879042129e-28
"g__Coprococcus",-12.0071700484263,5.65049282728757e-10
"g__Fusicatenibacter",-13.0278739785966,1.52258884440265e-13
"g__Phascolarctobacterium",-10.5959232376932,5.25148939039147e-07
"g__Lachnoclostridium",-1.91744367016825,0.258871690273806
"g__Escherichia",0.134916246487048,0.92329855440459
"g__Clostridium",-7.9427886522488,1.18961968063507e-06
"g__Gemmiger",-10.7089148962342,7.08432159669663e-13
"g__Firmicutes_unclassified",-14.0159706681008,1.46590502408545e-15
"g__Bilophila",-9.62829541489389,5.68815004139316e-09
"g__Roseburia",-12.3481591782848,6.49853912867484e-09
"g__Lachnospira",-11.232826352413,8.66925388636162e-09
"g__Lachnospiraceae_unclassified",-14.231791949049,2.18782876736821e-14
"g__Parasutterella",-10.0972658886096,6.11598006359947e-07
"g__Barnesiella",-10.2139201658687,6.12349813314767e-06
"g__Anaerostipes",-11.1659331690365,2.90699221457222e-12
"g__Proteobacteria_unclassified",-8.20899269202006,9.92542363492254e-06
"g__Collinsella",-9.59879578173354,3.45582922253417e-08
"g__Agathobaculum",-10.9283282586632,1.04047943843297e-12
"g__Bifidobacterium",-8.01291786631727,3.71282864069534e-06
"g__Turicimonas",-8.39253755835774,1.41379037025056e-07
"g__Dialister",-7.58200033543379,1.25648978612622e-05
"g__Erysipelatoclostridium",-2.32228958966913,0.096460255749503
"g__Ruthenibacterium",-11.372212771038,9.4862260241085e-12
"g__Intestinimonas",-10.0431087437454,6.27892572753786e-11
"g__Eisenbergiella",-8.89843394256257,1.45108343483589e-07
"g__Veillonella",-5.73473418634306,0.00129276413220877
"g__Haemophilus",-5.9572467930126,7.9306464758973e-05
"g__Akkermansia",-11.1200719871099,2.50227938685602e-09
"g__Lawsonibacter",-10.3191350135108,8.77903939361481e-11
"g__Streptococcus",-4.84553759466737,0.000682781180312023
"g__Prevotella",-7.89590764901066,0.000592533488763681
"44",-5.6139673391288,4.86698056162716e-08
