"","est","padj"
"g__Bacteroides",-2.14666409886134,0.164405302212118
"g__Parabacteroides",-4.6113962357068,0.0420938702983107
"g__Faecalibacterium",-8.89292241231747,2.05552680627991e-12
"g__Alistipes",-7.20536750454949,0.00113488343726014
"g__Ruminococcus",-6.54640469908627,0.00118655218517917
"g__Dorea",-4.61165228296555,0.0020723969122757
"g__Oscillibacter",-6.35897581178428,0.00361529586726927
"g__Flavonifractor",0.471640424712244,0.990476178729337
"g__Odoribacter",-2.95035545534103,0.310622117265939
"g__Blautia",0.635555274606245,0.906792684338724
"g__Ruminococcaceae_unclassified",-6.22299562418382,0.00197450249027924
"g__Eubacterium",-6.31545675979279,3.76617270650384e-07
"g__Coprococcus",-3.96109381434217,0.0755370197737516
"g__Fusicatenibacter",-4.99514009523493,0.00596892549752775
"g__Phascolarctobacterium",-2.55293397780842,0.356871197872522
"g__Lachnoclostridium",6.13254187263232,0.00488774411694988
"g__Escherichia",8.16391902680521,0.00015369807500198
"g__Clostridium",0.116886638839744,0.976769949465466
"g__Gemmiger",-2.66890783102814,0.126103295168926
"g__Firmicutes_unclassified",-5.98226714572333,0.00112887712102919
"g__Bilophila",-1.6038808030973,0.483401954909881
"g__Roseburia",-4.3050518750018,0.00379391466182064
"g__Lachnospira",-3.17350910555448,0.182230702049583
"g__Lachnospiraceae_unclassified",-6.18776435571326,0.00153408353359242
"g__Parasutterella",-2.05193588596719,0.474012602220425
"g__Barnesiella",-2.1662016117048,0.510282546077988
"g__Anaerostipes",-3.12064581819875,0.0928366279783704
"g__Proteobacteria_unclassified",-0.194842623850986,0.945770459235069
"g__Collinsella",-1.57761120813532,0.52425373305586
"g__Agathobaculum",-2.88792027785888,0.0989535498365211
"g__Bifidobacterium",0.0305162511052202,0.973734064467139
"g__Turicimonas",-0.343417397564524,0.900544686783658
"g__Dialister",0.479252646413939,0.992328745282108
"g__Erysipelatoclostridium",5.73807380978011,0.00111429993639972
"g__Ruthenibacterium",-3.33459851765415,0.0798515568380602
"g__Intestinimonas",-2.00180973697477,0.301316542475511
"g__Eisenbergiella",-0.852521244216024,0.784248892002272
"g__Veillonella",2.31502958942292,0.816669934395539
"g__Haemophilus",2.07550503171066,0.72628505005156
"g__Akkermansia",-3.08488049770056,0.17273683875732
"g__Lawsonibacter",-2.25024465420211,0.251586365221392
"g__Streptococcus",3.22754674862062,0.191054886526529
"g__Prevotella",0.148383833580066,0.988204854082604
"44",2.41947398070548,0.133577857100752
