"","est","padj"
"g__Bacteroides",-8.18697797221524,1.33908338882574e-05
"g__Parabacteroides",-10.6358957628848,9.17496054558364e-08
"g__Faecalibacterium",-14.9033174944114,3.77142364663242e-28
"g__Alistipes",-13.2257617736931,1.88210709361151e-10
"g__Ruminococcus",-12.5525648031908,3.94623943125539e-11
"g__Dorea",-10.6451149601686,1.2085125372898e-13
"g__Oscillibacter",-12.3959300578751,6.12735500288061e-09
"g__Flavonifractor",-5.56539604129262,0.000119341797689837
"g__Odoribacter",-8.99130233974491,5.54672587789417e-05
"g__Blautia",-5.39993262998544,2.11843392858962e-08
"g__Ruminococcaceae_unclassified",-12.2425780756868,1.22199580828258e-10
"g__Eubacterium",-12.3446553394146,1.15463130723399e-22
"g__Coprococcus",-9.9786014908403,1.42447878091262e-07
"g__Fusicatenibacter",-11.0272938350515,2.16816454421915e-10
"g__Phascolarctobacterium",-8.56008126134986,4.26720833832019e-05
"g__Lachnoclostridium",0.105413844451045,0.922448488887539
"g__Escherichia",2.15526325195408,0.99931851711439
"g__Clostridium",-5.92373406540558,0.000258138513347657
"g__Gemmiger",-8.67087004932137,4.26208310271229e-09
"g__Firmicutes_unclassified",-12.0123297816968,7.50232187788168e-12
"g__Bilophila",-7.61135251161251,3.51033745323832e-06
"g__Roseburia",-10.3329584206152,1.58777926655094e-12
"g__Lachnospira",-9.22616315328336,1.89163819221408e-06
"g__Lachnospiraceae_unclassified",-12.2076117079152,3.6010009286969e-11
"g__Parasutterella",-8.09303586493965,6.30644557930867e-05
"g__Barnesiella",-8.19509397547615,0.000275447425335526
"g__Anaerostipes",-9.14731060422253,6.18129623705684e-09
"g__Proteobacteria_unclassified",-6.23546365134346,0.000768498483513609
"g__Collinsella",-7.57275136660027,1.20586528055283e-05
"g__Agathobaculum",-8.94007964897751,3.25947164125471e-09
"g__Bifidobacterium",-5.98761142260281,0.000491798804296479
"g__Turicimonas",-6.36903305672199,5.55584216258157e-05
"g__Dialister",-5.54470330134176,0.00136389186680566
"g__Erysipelatoclostridium",-0.287158953136684,0.771999147374786
"g__Ruthenibacterium",-9.35991844956304,1.09359557190492e-08
"g__Intestinimonas",-8.02411288140191,1.39185116469738e-07
"g__Eisenbergiella",-6.89066068989048,4.32128414425266e-05
"g__Veillonella",-3.71838793960205,0.0375782249996279
"g__Haemophilus",-3.93678523651749,0.00906841296209123
"g__Akkermansia",-9.10414409018755,9.00678993560004e-07
"g__Lawsonibacter",-8.2892409839089,1.72246364746977e-07
"g__Streptococcus",-2.81182472979443,0.0513431738244975
"g__Prevotella",-5.89713270153314,0.0104930475752706
"44",-3.59912246400153,0.00042722959347569
