"","n_s","method","system","pc_l","pc_u","lfc_l","lfc_u","FDR_mean","Power_mean"
"66","120","aldex","armpit",0,0.5,0,3,0.0069047619047619,0.735947712418301
"67","120","aldex","gut",0,0.2,0,3,0.012604971042471,0.794894894894895
"68","120","aldex","gut",0.1,0.7,-2,3,0,0.684464227546714
"69","120","aldex","gut",0.2,0.2,-2.5,2.5,0,0.524099099099099
"70","120","aldex","oral",0,0.2,0,3,0.00208333333333334,0.734712643678161
"71","120","aldex","oral",0.1,0.4,-2,3,0.0059922889067309,0.642567755726013
"72","120","aldex","oral",0.1,0.7,-2,3,0.000632911392405065,0.667197045814684
"73","120","aldex","oral",0.2,0.2,-2.5,2.5,0,0.500977011494253
"74","120","aldex_lin","armpit",0,0.5,0,3,0,0.763725490196078
"75","120","aldex_lin","gut",0,0.2,0,3,0.0341503226886291,0.811336336336336
"76","120","aldex_lin","gut",0.1,0.7,-2,3,0.00137709137709138,0.700017655709377
"77","120","aldex_lin","gut",0.2,0.2,-2.5,2.5,0,0.552796546546546
"78","120","aldex_lin","oral",0,0.2,0,3,0.0110227272727273,0.779195402298851
"79","120","aldex_lin","oral",0.1,0.4,-2,3,0.0111384292487315,0.66585803061406
"80","120","aldex_lin","oral",0.1,0.7,-2,3,0,0.683728159496501
"81","120","aldex_lin","oral",0.2,0.2,-2.5,2.5,0.00421082847553436,0.548132183908046
"82","120","ancombc2","armpit",0,0.5,0,3,0.112478906542374,0.690849673202614
"83","120","ancombc2","gut",0,0.2,0,3,0,0.730217717717718
"84","120","ancombc2","gut",0.1,0.7,-2,3,0.333504601282779,0.356314895117741
"85","120","ancombc2","gut",0.2,0.2,-2.5,2.5,0,0.592586336336336
"86","120","ancombc2","oral",0,0.2,0,3,0.00227272727272727,0.65919540229885
"87","120","ancombc2","oral",0.1,0.4,-2,3,0,0.6272981196033
"88","120","ancombc2","oral",0.1,0.7,-2,3,0.302147085136407,0.379103141346455
"89","120","ancombc2","oral",0.2,0.2,-2.5,2.5,0.00277777777777778,0.553362068965517
"90","120","linda","armpit",0,0.5,0,3,0.219484183313434,0.830555555555555
"91","120","linda","gut",0,0.2,0,3,0.124667694378377,0.823723723723724
"92","120","linda","gut",0.1,0.7,-2,3,0.0857533655107331,0.70949061579789
"93","120","linda","gut",0.2,0.2,-2.5,2.5,0.031730204126143,0.685078828828829
"94","120","linda","oral",0,0.2,0,3,0.191815117377061,0.799942528735632
"95","120","linda","oral",0.1,0.4,-2,3,0.0890644879733694,0.760678490375384
"96","120","linda","oral",0.1,0.7,-2,3,0.113302387799047,0.699961518962963
"97","120","linda","oral",0.2,0.2,-2.5,2.5,0.0510268569565151,0.69367816091954
"98","120","lmerseq","armpit",0,0.5,0,3,0.5898476919001,0.626489811610919
"99","120","lmerseq","oral",0,0.2,0,3,0.691144620496023,0.671724137931034
"100","120","lmerseq","oral",0.1,0.4,-2,3,0.498218653802313,0.663489229341246
"101","120","lmerseq","oral",0.1,0.7,-2,3,0.235911817515763,0.627446232846985
"102","120","lmerseq","oral",0.2,0.2,-2.5,2.5,0.0497237861368297,0.663628899835796
"103","120","maaslin2","armpit",0,0.5,0,3,0.606162743456222,0.576633986928105
"104","120","maaslin2","gut",0,0.2,0,3,0.786212330287602,0.695870870870871
"105","120","maaslin2","gut",0.1,0.7,-2,3,0.253239306605118,0.580107696225729
"106","120","maaslin2","gut",0.2,0.2,-2.5,2.5,0.0955136804808717,0.680274024024024
"107","120","maaslin2","oral",0,0.2,0,3,0.817537478107899,0.633390804597701
"108","120","maaslin2","oral",0.1,0.4,-2,3,0.549906088178949,0.641260893490442
"109","120","maaslin2","oral",0.1,0.7,-2,3,0.259301650626712,0.582032333434205
"110","120","maaslin2","oral",0.2,0.2,-2.5,2.5,0.0817733171314237,0.690344827586207
"111","120","maaslin3","armpit",0,0.5,0,3,0.0851221366352945,0.641013071895425
"112","120","maaslin3","gut",0,0.2,0,3,0.0494067091911919,0.730142642642643
"113","120","maaslin3","gut",0.1,0.7,-2,3,0.262348141882028,0.539297114572563
"114","120","maaslin3","gut",0.2,0.2,-2.5,2.5,0.0209271053472268,0.638475975975976
"115","120","maaslin3","oral",0,0.2,0,3,0.173811361302366,0.693505747126437
"116","120","maaslin3","oral",0.1,0.4,-2,3,0.0692452841908301,0.618604683595423
"117","120","maaslin3","oral",0.1,0.7,-2,3,0.239314925511762,0.573176098415209
"118","120","maaslin3","oral",0.2,0.2,-2.5,2.5,0.0476352352148271,0.640287356321839
"119","160","NBZIMM","armpit",0,0.5,0,3,0.638221784254393,0.523529411764706
"120","160","NBZIMM","gut",0,0.2,0,3,0.83136275265194,0.64710960960961
"121","160","NBZIMM","gut",0.1,0.7,-2,3,0.308324337758535,0.470880471579279
"122","160","NBZIMM","gut",0.2,0.2,-2.5,2.5,0.230118397372825,0.661486486486487
"123","160","NBZIMM","oral",0,0.2,0,3,0.817882933780912,0.672134646962233
"124","160","NBZIMM","oral",0.1,0.4,-2,3,0.5842776390553,0.58199217368053
"125","160","NBZIMM","oral",0.1,0.7,-2,3,0.302453879372692,0.487079927253528
"126","160","NBZIMM","oral",0.2,0.2,-2.5,2.5,0.0986321303610033,0.682586206896552
"127","160","aldex","armpit",0,0.5,0,3,0,0.710457516339869
"128","160","aldex","gut",0,0.2,0,3,0.00833333333333333,0.826388888888889
"129","160","aldex","gut",0.1,0.7,-2,3,0.000471698113207547,0.714739509526059
"130","160","aldex","gut",0.2,0.2,-2.5,2.5,0,0.515915915915916
"131","160","aldex","oral",0,0.2,0,3,0.00192307692307692,0.79814039408867
"132","160","aldex","oral",0.1,0.4,-2,3,0.0257286962027983,0.659546885927023
"133","160","aldex","oral",0.1,0.7,-2,3,0.00058139534883721,0.678075674492652
"134","160","aldex","oral",0.2,0.2,-2.5,2.5,0.00166666666666666,0.536666666666667
"135","160","aldex_lin","armpit",0,0.5,0,3,0.00416666666666666,0.752124183006536
"136","160","aldex_lin","gut",0,0.2,0,3,0.0141414141414141,0.840052552552553
"137","160","aldex_lin","gut",0.1,0.7,-2,3,0.00136192986660276,0.725458031543589
"138","160","aldex_lin","gut",0.2,0.2,-2.5,2.5,0,0.540728228228228
"139","160","aldex_lin","oral",0,0.2,0,3,0.00555555555555555,0.811646141215107
"140","160","aldex_lin","oral",0.1,0.4,-2,3,0.0319457023454527,0.675162223867703
"141","160","aldex_lin","oral",0.1,0.7,-2,3,0.00223470661672908,0.695040907111013
"142","160","aldex_lin","oral",0.2,0.2,-2.5,2.5,0.00295138888888889,0.569109195402299
"143","160","ancombc2","armpit",0,0.5,0,3,0.151566125151651,0.662745098039216
"144","160","ancombc2","gut",0,0.2,0,3,0.00542784163473818,0.764189189189189
"145","160","ancombc2","gut",0.1,0.7,-2,3,0.282594855607409,0.430817620584685
"146","160","ancombc2","gut",0.2,0.2,-2.5,2.5,0.00113636363636364,0.591122372372372
"147","160","ancombc2","oral",0,0.2,0,3,0.00890117142385745,0.755484400656814
"148","160","ancombc2","oral",0.1,0.4,-2,3,0.00209790209790209,0.656786591385907
"149","160","ancombc2","oral",0.1,0.7,-2,3,0.321672790192989,0.40223755106839
"150","160","ancombc2","oral",0.2,0.2,-2.5,2.5,0.00142857142857143,0.604137931034483
"151","160","linda","armpit",0,0.5,0,3,0.283578712041661,0.857843137254902
"152","160","linda","gut",0,0.2,0,3,0.152876994650661,0.857845345345345
"153","160","linda","gut",0.1,0.7,-2,3,0.0967512934223141,0.752654864063402
"154","160","linda","gut",0.2,0.2,-2.5,2.5,0.0388066389277655,0.680311561561562
"155","160","linda","oral",0,0.2,0,3,0.278224581457224,0.850381773399015
"156","160","linda","oral",0.1,0.4,-2,3,0.11359925106864,0.786523211567732
"157","160","linda","oral",0.1,0.7,-2,3,0.11275677670633,0.726997897273339
"158","160","linda","oral",0.2,0.2,-2.5,2.5,0.0299723716512688,0.72448275862069
"159","160","lmerseq","armpit",0,0.5,0,3,0.596983627005179,0.614583333333333
"160","160","lmerseq","gut",0,0.2,0,3,0.722772277227723,0.756756756756757
"161","160","lmerseq","gut",0.1,0.7,-2,3,0.196850393700787,0.703448275862069
"162","160","lmerseq","gut",0.2,0.2,-2.5,2.5,0.131147540983607,0.736111111111111
"163","160","lmerseq","oral",0,0.2,0,3,0.737927540500767,0.775089346083261
"164","160","lmerseq","oral",0.1,0.4,-2,3,0.50152042744352,0.67986559411217
"165","160","lmerseq","oral",0.1,0.7,-2,3,0.247882648803941,0.628249218408902
"166","160","lmerseq","oral",0.2,0.2,-2.5,2.5,0.0635352587335426,0.690038314176245
"167","160","maaslin2","armpit",0,0.5,0,3,0.628447067633349,0.537581699346405
"168","160","maaslin2","gut",0,0.2,0,3,0.801731512706085,0.739489489489489
"169","160","maaslin2","gut",0.1,0.7,-2,3,0.257703254890081,0.598524838608093
"170","160","maaslin2","gut",0.2,0.2,-2.5,2.5,0.13137426014856,0.67606981981982
"171","160","maaslin2","oral",0,0.2,0,3,0.811782072275984,0.719848111658456
"172","160","maaslin2","oral",0.1,0.4,-2,3,0.556946964969696,0.640994353942984
"173","160","maaslin2","oral",0.1,0.7,-2,3,0.26214835499126,0.593127412207874
"174","160","maaslin2","oral",0.2,0.2,-2.5,2.5,0.0918823367073344,0.716781609195402
"175","160","maaslin3","armpit",0,0.5,0,3,0.122918747918748,0.620915032679739
"176","160","maaslin3","gut",0,0.2,0,3,0.0549995309742704,0.724399399399399
"177","160","maaslin3","gut",0.1,0.7,-2,3,0.264175318660896,0.557814976644098
"178","160","maaslin3","gut",0.2,0.2,-2.5,2.5,0.0146635248503842,0.64710960960961
"179","160","maaslin3","oral",0,0.2,0,3,0.181229821562097,0.755779967159277
"180","160","maaslin3","oral",0.1,0.4,-2,3,0.115769200429587,0.622065449010655
"181","160","maaslin3","oral",0.1,0.7,-2,3,0.254351629461177,0.569377296543612
"182","160","maaslin3","oral",0.2,0.2,-2.5,2.5,0.0324048004318634,0.664827586206896
"183","20","NBZIMM","armpit",0,0.5,0,3,0.511368631368631,0.2
