"","n_s","method","system","pc_l","pc_u","FDR_mean","Power_mean"
"76","20","linda","armpit",0,0.5,0.174722222222222,0.144444444444444
"77","20","linda","oral",0.1,0.4,0.0659576023391813,0.183063690402732
"78","20","linda","oral",0.1,0.7,0.110833896777102,0.0876182097018206
"79","20","lmerseq","armpit",0,0.5,0.294117647058824,0.0457516339869281
"80","20","lmerseq","oral",0.1,0.4,0.0785957687918472,0.16215971679442
"81","20","lmerseq","oral",0.1,0.7,0.0423840048840049,0.10709067839544
"82","20","maaslin2","armpit",0,0.5,0.139285714285714,0.0472222222222222
"83","20","maaslin2","oral",0.1,0.4,0.0978059440559441,0.0940439857665886
"84","20","maaslin2","oral",0.1,0.7,0.0296454451345756,0.0676483081811564
"85","200","NBZIMM","armpit",0,0.5,0.59285181539692,0.459640522875817
"86","200","NBZIMM","oral",0.1,0.4,0.507125840483284,0.501853357071136
"87","200","NBZIMM","oral",0.1,0.7,0.264351956505,0.406419557947103
"88","200","aldex","armpit",0,0.5,0,0.668627450980392
"89","200","aldex","oral",0.1,0.4,0.0215872325198597,0.605771611569123
"90","200","aldex","oral",0.1,0.7,0,0.597841206540067
"91","200","aldex_lin","armpit",0,0.5,0.029229026692262,0.766176470588235
"92","200","aldex_lin","oral",0.1,0.4,0.0581291093428278,0.631719789198807
"93","200","aldex_lin","oral",0.1,0.7,0.00243525047982575,0.640960831495286
"94","200","ancombc2","armpit",0,0.5,0.149494569757728,0.474183006535948
"95","200","ancombc2","oral",0.1,0.4,0.0119982690331528,0.48497001197609
"96","200","ancombc2","oral",0.1,0.7,0.266412037830478,0.235627678680108
"97","200","linda","armpit",0,0.5,0.192050413466822,0.713562091503268
"98","200","linda","oral",0.1,0.4,0.0636160898941329,0.671390799877632
"99","200","linda","oral",0.1,0.7,0.210682940683733,0.468296999166932
"100","200","lmerseq","armpit",0,0.5,0.564761498158069,0.490196078431373
"101","200","lmerseq","oral",0.1,0.4,0.42483786774582,0.601650698402435
"102","200","lmerseq","oral",0.1,0.7,0.217127699034726,0.518693042341025
"103","200","maaslin2","armpit",0,0.5,0.588311945491579,0.448529411764706
"104","200","maaslin2","oral",0.1,0.4,0.454477140403706,0.577729022723283
"105","200","maaslin2","oral",0.1,0.7,0.225748677461396,0.494624878903809
"106","250","NBZIMM","armpit",0,0.5,0.625962368640219,0.447222222222222
"107","250","NBZIMM","oral",0.1,0.4,0.521096383513669,0.523236126537496
"108","250","NBZIMM","oral",0.1,0.7,0.269615669677179,0.416846453194962
"109","250","aldex","armpit",0,0.5,0,0.680555555555555
"110","250","aldex","oral",0.1,0.4,0.0179772707825268,0.614130424945494
"111","250","aldex","oral",0.1,0.7,0.00212139466054935,0.600079831972469
"112","250","aldex_lin","armpit",0,0.5,0.024317092221504,0.761111111111111
"113","250","aldex_lin","oral",0.1,0.4,0.0684431721874041,0.659564328026657
"114","250","aldex_lin","oral",0.1,0.7,0.0026288034111844,0.628459166218497
"115","250","ancombc2","armpit",0,0.5,0.181638872823083,0.513888888888889
"116","250","ancombc2","oral",0.1,0.4,0.00632541860061796,0.530149749064133
"117","250","ancombc2","oral",0.1,0.7,0.38100033578468,0.223653363183794
"118","250","linda","armpit",0,0.5,0.141442515602732,0.758333333333333
"119","250","linda","oral",0.1,0.4,0.0714147816697172,0.686835565017072
"120","250","linda","oral",0.1,0.7,0.166934769562601,0.51106648269345
"121","250","lmerseq","armpit",0,0.5,0.56394934291702,0.552777777777778
"122","250","lmerseq","oral",0.1,0.4,0.453660282645928,0.61484365872722
"123","250","lmerseq","oral",0.1,0.7,0.225831657006738,0.53209563200032
"124","250","maaslin2","armpit",0,0.5,0.607006827937471,0.477777777777778
"125","250","maaslin2","oral",0.1,0.4,0.483407396494107,0.58696980542186
"126","250","maaslin2","oral",0.1,0.7,0.236413067336687,0.505932393203677
"127","300","NBZIMM","armpit",0,0.5,0.600621521164158,0.488888888888889
"128","300","NBZIMM","oral",0.1,0.4,0.530188746388005,0.52881520218849
"129","300","NBZIMM","oral",0.1,0.7,0.261388026233967,0.431572266942936
"130","300","aldex","armpit",0,0.5,0.00871212121212121,0.702777777777778
"131","300","aldex","oral",0.1,0.4,0.0158847410269543,0.60559916080464
"132","300","aldex","oral",0.1,0.7,0,0.616235893879279
"133","300","aldex_lin","armpit",0,0.5,0.0322039969834087,0.786111111111111
"134","300","aldex_lin","oral",0.1,0.4,0.0658158057186578,0.638296320292896
"135","300","aldex_lin","oral",0.1,0.7,0.00128734114540353,0.655202809024001
"136","300","ancombc2","armpit",0,0.5,0.142481684981685,0.541666666666667
"137","300","ancombc2","oral",0.1,0.4,0.0355979335803897,0.527963377761323
"138","300","ancombc2","oral",0.1,0.7,0.356281073002841,0.250333742539283
"139","300","linda","armpit",0,0.5,0.195277374899969,0.791666666666667
"140","300","linda","oral",0.1,0.4,0.0810167514912716,0.670989191246041
"141","300","linda","oral",0.1,0.7,0.157768056048201,0.534718253831899
"142","300","lmerseq","armpit",0,0.5,0.558591265015178,0.572222222222222
"143","300","lmerseq","oral",0.1,0.4,0.467748143055411,0.607636430951499
"144","300","lmerseq","oral",0.1,0.7,0.215159361579426,0.542860433414973
"145","300","maaslin2","armpit",0,0.5,0.591625985828234,0.505555555555556
"146","300","maaslin2","oral",0.1,0.4,0.497372190352975,0.581106174667819
"147","300","maaslin2","oral",0.1,0.7,0.225059966839814,0.519529729781472
"148","40","NBZIMM","armpit",0,0.5,0.163541666666667,0.0975490196078431
"149","40","NBZIMM","oral",0.1,0.4,0.28121845823747,0.207495793738945
"150","40","NBZIMM","oral",0.1,0.7,0.161610071341714,0.139883542400585
"151","40","aldex","armpit",0,0.5,0.00416666666666666,0.398692810457516
"152","40","aldex","oral",0.1,0.4,0.005,0.424470535604097
"153","40","aldex","oral",0.1,0.7,0.00549223072249388,0.459570383940717
"154","40","aldex_lin","armpit",0,0.5,0.0939004704445881,0.707843137254902
"155","40","aldex_lin","oral",0.1,0.4,0.0605213287832567,0.547788206014233
