"","method","genus","est","padj","sparsity","log2_mean"
"329","QMP","g__Abiotrophia",-1.12778762447383,0.532007369909512,31,6
"308","QMP","g__Absconditabacteria_(SR1)_[G-1]",-0.464934097529309,0.85535540197375,19,7
"14","QMP","g__Actinomyces",-2.45037375454282,0.386458214279562,2,9
"119","QMP","g__Aggregatibacter",-2.92223082355454,0.134346593810801,28,8
"63","QMP","g__Alloprevotella",-5.11287400038982,0.0125490799343093,9,9
"371","QMP","g__Anaeroglobus",-0.189994417326548,0.907312686646795,54,4
"245","QMP","g__Anoxybacillus",1.41782917476897,0.134346593810801,44,4
"112","QMP","g__Atopobium",-1.36634970901953,0.540515112508224,10,7
"273","QMP","g__Bacteroidales_[G-2]",0.0814994429596092,0.963535124925373,22,6
"238","QMP","g__Bacteroidetes_[G-3]",-0.379700553925869,0.7117569710455,63,3
"175","QMP","g__Bacteroidetes_[G-5]",-0.379962000899448,0.49086661747467,60,4
"210","QMP","g__Bergeyella",-0.944257768450357,0.678582533609724,15,8
"224","QMP","g__Campylobacter",-1.87254025834459,0.44036872151114,4,8
"70","QMP","g__Capnocytophaga",-0.881325975982088,0.698528312557905,2,9
"91","QMP","g__Cardiobacterium",0.808665164463281,0.678584485552443,23,5
"189","QMP","g__Catonella",0.204793105218586,0.926996761745889,16,5
"287","QMP","g__Corynebacterium",-0.383421856196512,0.85535540197375,16,6
"266","QMP","g__Dialister",-1.99050855603844,0.124432674594954,28,5
"399","QMP","g__Escherichia",-1.16399133104835,0.44036872151114,20,3
"385","QMP","g__Filifactor",-1.1282180043377,0.228898210270065,69,2
"301","QMP","g__Fretibacterium",-0.825431494820248,0.44036872151114,54,4
"35","QMP","g__Fusobacterium",-2.84153345953548,0.134346593810801,2,10
"336","QMP","g__Gemella",-3.13563988843418,0.124432674594954,0,9
"322","QMP","g__Gracilibacteria_(GN02)_[G-1]",-0.884302698865853,0.592670097398583,53,3
"280","QMP","g__Granulicatella",-3.99808357132599,0.019820512285645,1,9
"7","QMP","g__Haemophilus",-5.26356221846746,0.00675425829942465,0,12
"154","QMP","g__Kingella",-1.5107727611858,0.468940830673046,28,5
"133","QMP","g__Lachnoanaerobaculum",-0.457152931434737,0.845082485465913,16,5
"203","QMP","g__Lachnospiraceae_[G-2]",0.739867696740988,0.678584485552443,53,4
"28","QMP","g__Lachnospiraceae_[G-3]",-0.429343002446106,0.678582533609724,67,3
"315","QMP","g__Lautropia",-1.51179043609566,0.532007369909512,17,7
"84","QMP","g__Leptotrichia",-3.73035990336012,0.107413813026837,2,10
"294","QMP","g__Megasphaera",-0.593605331092973,0.85535540197375,14,8
"378","QMP","g__Mogibacterium",-1.12980977823761,0.169367476573809,64,3
"77","QMP","g__Mycoplasma",-1.53460072511061,0.323204460215473,41,5
"252","QMP","g__Neisseria",-4.19290793775996,0.123069232686942,1,12
"259","QMP","g__Oribacterium",-2.92417515586187,0.179211201108271,9,8
"364","QMP","g__Ottowia",0.670013831428716,0.678582533609724,69,3
"217","QMP","g__Parvimonas",-2.4573591536729,0.128220837474054,35,5
"126","QMP","g__Peptidiphaga",1.02484523696622,0.386458214279562,69,1
"357","QMP","g__Peptostreptococcaceae_[XI][G-1]",-1.29509889772553,0.371506900196065,43,3
"21","QMP","g__Peptostreptococcaceae_[XI][G-7]",0.573049317958859,0.793654402117012,20,5
"343","QMP","g__Peptostreptococcus",-2.16162105088429,0.245117619931342,22,5
"231","QMP","g__Porphyromonas",-4.84408046208125,0.019820512285645,1,10
"56","QMP","g__Prevotella",-3.47641077822585,0.107413813026837,0,12
"161","QMP","g__Ralstonia",1.74498886106357,0.123069232686942,52,4
"168","QMP","g__Rothia",-2.91320267236271,0.179211201108271,1,11
"350","QMP","g__Ruminococcaceae_[G-2]",-0.426878340176355,0.85535540197375,27,5
"140","QMP","g__Saccharibacteria_(TM7)_[G-1]",-0.885249788564446,0.389444584182243,49,2
"406","QMP","g__Scardovia",0.685057824941846,0.592670097398583,60,5
"98","QMP","g__Selenomonas",-0.33187705891715,0.874070543600602,12,6
"392","QMP","g__Solobacterium",-1.64397671209212,0.405503680215125,25,5
"182","QMP","g__Stomatobaculum",0.278388759714616,0.886104419330252,33,4
"196","QMP","g__Streptococcus",-4.50730831086056,0.0153768135782003,0,13
"42","QMP","g__Tannerella",-0.628312090869261,0.778436447222711,25,6
"49","QMP","g__Treponema",0.0567145284851377,0.963535124925373,26,5
"105","QMP","g__Veillonella",-1.07702989944812,0.678584485552443,0,12
"147","QMP","g__Veillonellaceae_[G-1]",-0.655637307961282,0.512851299931203,64,3
"413","QMP","other",-0.0724296665564745,0.963535124925373,5,7
"324","LinDA","g__Abiotrophia",-3.3437741882615,0.275918323434444,31,6
"303","LinDA","g__Absconditabacteria_(SR1)_[G-1]",-2.64567263105147,0.275918323434444,19,7
"9","LinDA","g__Actinomyces",0.87602082853176,0.634269809074844,2,9
"114","LinDA","g__Aggregatibacter",-3.2460951536897,0.429164332590856,28,8
"58","LinDA","g__Alloprevotella",-5.89539601643685,0.0115813477493895,9,9
"366","LinDA","g__Anaeroglobus",1.27011319152062,0.660467197730817,54,4
"240","LinDA","g__Anoxybacillus",2.76258352101654,0.577310371866493,44,4
"107","LinDA","g__Atopobium",2.18439230208281,0.496903780119462,10,7
"268","LinDA","g__Bacteroidales_[G-2]",-0.48849375645793,0.815919516447306,22,6
"233","LinDA","g__Bacteroidetes_[G-3]",-0.946234204840049,0.655843161298553,63,3
"170","LinDA","g__Bacteroidetes_[G-5]",0.749012383311285,0.792895104749254,60,4
"205","LinDA","g__Bergeyella",1.03206902970772,0.711252298336843,15,8
"219","LinDA","g__Campylobacter",-0.0959732583276382,0.975510908542081,4,8
"65","LinDA","g__Capnocytophaga",0.596958486428728,0.739278786812349,2,9
"86","LinDA","g__Cardiobacterium",1.76191908521234,0.577310371866493,23,5
"184","LinDA","g__Catonella",-2.42244148756368,0.275918323434444,16,5
"282","LinDA","g__Corynebacterium",1.21237428480243,0.685824527484474,16,6
"261","LinDA","g__Dialister",-0.361973181260019,0.863702914631675,28,5
"394","LinDA","g__Escherichia",-0.541589440118207,0.815919516447306,20,3
"380","LinDA","g__Filifactor",0.500930246019781,0.815919516447306,69,2
"296","LinDA","g__Fretibacterium",1.19712767918945,0.634269809074844,54,4
"30","LinDA","g__Fusobacterium",-1.9725180486495,0.429164332590856,2,10
