"","method","genus","est","padj","sparsity","log2_mean"
"256","ANCOM-BC2","g__Oribacterium",-1.86893904098465,0.359845785785961,9,8
"361","ANCOM-BC2","g__Ottowia",3.34671208610566,0.180587327510861,69,3
"214","ANCOM-BC2","g__Parvimonas",-1.03614559291361,0.875466793467464,35,5
"123","ANCOM-BC2","g__Peptidiphaga",3.51598133383793,0.279072162403387,69,1
"354","ANCOM-BC2","g__Peptostreptococcaceae_[XI][G-1]",-2.55329153822513,0.728234373058719,43,3
"18","ANCOM-BC2","g__Peptostreptococcaceae_[XI][G-7]",0.611543103783856,0.875466793467464,20,5
"340","ANCOM-BC2","g__Peptostreptococcus",-0.283382624192874,0.931416179199248,22,5
"228","ANCOM-BC2","g__Porphyromonas",-0.703591159760792,1,1,10
"53","ANCOM-BC2","g__Prevotella",-0.544049015387773,0.875466793467464,0,12
"158","ANCOM-BC2","g__Ralstonia",-1.88353706824634,0.76078228346872,52,4
"165","ANCOM-BC2","g__Rothia",-0.39311682100962,0.884378006109201,1,11
"347","ANCOM-BC2","g__Ruminococcaceae_[G-2]",-1.72286071313357,0.728234373058719,27,5
"137","ANCOM-BC2","g__Saccharibacteria_(TM7)_[G-1]",-1.08025654423779,0.875466793467464,49,2
"403","ANCOM-BC2","g__Scardovia",0,1,60,5
"95","ANCOM-BC2","g__Selenomonas",0.259481541884782,0.976440604868195,12,6
"389","ANCOM-BC2","g__Solobacterium",-0.683217061068823,0.875466793467464,25,5
"179","ANCOM-BC2","g__Stomatobaculum",0.724677542094706,0.875466793467464,33,4
"193","ANCOM-BC2","g__Streptococcus",-0.366718564842351,0.875466793467464,0,13
"39","ANCOM-BC2","g__Tannerella",-0.231254021724093,0.931416179199248,25,6
"46","ANCOM-BC2","g__Treponema",0.236329272448149,0.992159978593582,26,5
"102","ANCOM-BC2","g__Veillonella",0.387332651833665,0.875466793467464,0,12
"144","ANCOM-BC2","g__Veillonellaceae_[G-1]",0.1236638566144,1,64,3
"410","ANCOM-BC2","other",0.6813143594962,0.875466793467464,5,7
"328","MaAsLin3","g__Abiotrophia",-7.2969800614507,0.0460571522539795,31,6
"307","MaAsLin3","g__Absconditabacteria_(SR1)_[G-1]",-4.67543443817629,0.0251827733800137,19,7
"13","MaAsLin3","g__Actinomyces",-3.34001026065359,0.137791848827869,2,9
"118","MaAsLin3","g__Aggregatibacter",-6.42831539720764,0.120338607564678,28,8
"62","MaAsLin3","g__Alloprevotella",-8.15492183401193,0.000325760704654674,9,9
"370","MaAsLin3","g__Anaeroglobus",-1.68597609794858,0.801766207029945,54,4
"244","MaAsLin3","g__Anoxybacillus",-2.12368746319031,0.589123341030883,44,4
"111","MaAsLin3","g__Atopobium",-2.57902099603724,0.399277870701582,10,7
"272","MaAsLin3","g__Bacteroidales_[G-2]",-3.88729111689942,0.046734431033208,22,6
"237","MaAsLin3","g__Bacteroidetes_[G-3]",-6.79904182591112,0.0237379089117068,63,3
"174","MaAsLin3","g__Bacteroidetes_[G-5]",-2.79348714524029,0.535562434203443,60,4
"209","MaAsLin3","g__Bergeyella",-1.83744845280475,0.616876031637265,15,8
"223","MaAsLin3","g__Campylobacter",-2.88465002416887,0.166555321876594,4,8
"69","MaAsLin3","g__Capnocytophaga",-3.56368206595558,0.0575613163229215,2,9
"90","MaAsLin3","g__Cardiobacterium",-1.0866131921684,0.902505769930817,23,5
"188","MaAsLin3","g__Catonella",-5.3102619324074,0.0314621822759077,16,5
"286","MaAsLin3","g__Corynebacterium",-1.26129108380824,7.53940972438875e-23,16,6
"265","MaAsLin3","g__Dialister",-5.89925688076935,0.030585865098115,28,5
"398","MaAsLin3","g__Escherichia",-3.75027319591876,0.125419223254074,20,3
"384","MaAsLin3","g__Filifactor",0,0.955160843759027,69,2
"300","MaAsLin3","g__Fretibacterium",-3.13066349640229,0.635062146490709,54,4
"34","MaAsLin3","g__Fusobacterium",-3.78762906460117,0.0237379089117068,2,10
"335","MaAsLin3","g__Gemella",-5.8192375394343,0.000325760704654674,0,9
"321","MaAsLin3","g__Gracilibacteria_(GN02)_[G-1]",0,1,53,3
"279","MaAsLin3","g__Granulicatella",-4.03602294468212,0.00976387087630217,1,9
"6","MaAsLin3","g__Haemophilus",-4.4904127275263,0.0045455238071944,0,12
"153","MaAsLin3","g__Kingella",-6.08187208091827,0.0240718189683564,28,5
"132","MaAsLin3","g__Lachnoanaerobaculum",-3.67453930928032,0.103380636769288,16,5
"202","MaAsLin3","g__Lachnospiraceae_[G-2]",-2.93236959657346,0.399277870701582,53,4
"27","MaAsLin3","g__Lachnospiraceae_[G-3]",-1.14275992827803,0.656552056890809,67,3
"314","MaAsLin3","g__Lautropia",-4.32765803822749,0.120338607564678,17,7
"83","MaAsLin3","g__Leptotrichia",-3.08306113570598,0.131503662575949,2,10
"293","MaAsLin3","g__Megasphaera",-1.68675956671879,0.724778591654813,14,8
"377","MaAsLin3","g__Mogibacterium",-4.19155225711836,0.441658444720724,64,3
"76","MaAsLin3","g__Mycoplasma",-4.39878958755373,0.00712167164992885,41,5
"251","MaAsLin3","g__Neisseria",-4.61436210191083,0.0240718189683564,1,12
"258","MaAsLin3","g__Oribacterium",-5.75667086402098,0.00907204821284986,9,8
"363","MaAsLin3","g__Ottowia",2.19415193077958,0.535562434203443,69,3
"216","MaAsLin3","g__Parvimonas",-6.90312151773295,0.00072599896941382,35,5
"125","MaAsLin3","g__Peptidiphaga",3.8132711237821,0.157540037339556,69,1
"356","MaAsLin3","g__Peptostreptococcaceae_[XI][G-1]",-11.82805382303,0.00712167164992885,43,3
"20","MaAsLin3","g__Peptostreptococcaceae_[XI][G-7]",-1.75371548929314,0.724787112127087,20,5
"342","MaAsLin3","g__Peptostreptococcus",-3.5052590109788,0.120338607564678,22,5
"230","MaAsLin3","g__Porphyromonas",-3.97820250466781,0.0464599010806296,1,10
"55","MaAsLin3","g__Prevotella",-3.82921792132625,0.0264961361671566,0,12
"160","MaAsLin3","g__Ralstonia",-2.75793291307544,0.656552056890809,52,4
"167","MaAsLin3","g__Rothia",-3.54209786560043,0.0737756035262072,1,11
"349","MaAsLin3","g__Ruminococcaceae_[G-2]",-4.0570493109963,0.311048712667263,27,5
"139","MaAsLin3","g__Saccharibacteria_(TM7)_[G-1]",-5.02379234325929,0.311048712667263,49,2
"405","MaAsLin3","g__Scardovia",0,0.908651767765673,60,5
"97","MaAsLin3","g__Selenomonas",-2.20466130772941,0.383730815178937,12,6
"391","MaAsLin3","g__Solobacterium",-4.27799435432283,0.120338607564678,25,5
"181","MaAsLin3","g__Stomatobaculum",-1.43112947860151,0.724778591654813,33,4
"195","MaAsLin3","g__Streptococcus",-3.52756200255948,0.02261182814366,0,13
"41","MaAsLin3","g__Tannerella",-3.07447793559633,0.137883869481626,25,6
"48","MaAsLin3","g__Treponema",-1.83353271133015,0.707834442222668,26,5
"104","MaAsLin3","g__Veillonella",-2.44120573124842,0.166555321876594,0,12
"146","MaAsLin3","g__Veillonellaceae_[G-1]",-1.99352356896268,0.864776948935676,64,3
"412","MaAsLin3","other",-1.73067556453881,0.489089174467151,5,7
